3046
Date,Open,High,Low,Close,Volume,Trading Value
7/14,8130.0,8190.0,8070.0,8100.0,30200.0,8100.0
7/13,8210.0,8270.0,8110.0,8130.0,35600.0,8130.0
7/12,8170.0,8230.0,8130.0,8170.0,29400.0,8170.0
7/9,7970.0,8110.0,7910.0,8070.0,56400.0,8070.0
7/8,8180.0,8260.0,8090.0,8090.0,60800.0,8090.0
7/7,8240.0,8270.0,8170.0,8190.0,43300.0,8190.0
7/6,8360.0,8460.0,8340.0,8360.0,36500.0,8360.0
7/5,8530.0,8590.0,8430.0,8430.0,32000.0,8430.0
7/2,8530.0,8620.0,8510.0,8560.0,26300.0,8560.0
7/1,8510.0,8640.0,8470.0,8560.0,35100.0,8560.0
6/30,8500.0,8560.0,8480.0,8510.0,46800.0,8510.0
6/29,8510.0,8580.0,8430.0,8450.0,63700.0,8450.0
6/28,8460.0,8490.0,8320.0,8330.0,52500.0,8330.0
6/25,8330.0,8400.0,8320.0,8350.0,32800.0,8350.0
6/24,8160.0,8240.0,8130.0,8200.0,34700.0,8200.0
6/23,8160.0,8180.0,8060.0,8130.0,20600.0,8130.0
6/22,8060.0,8140.0,8000.0,8070.0,32400.0,8070.0
6/21,7980.0,7990.0,7870.0,7910.0,33200.0,7910.0
6/18,8170.0,8170.0,8050.0,8050.0,23600.0,8050.0
6/17,8210.0,8330.0,8090.0,8120.0,42300.0,8120.0
6/16,8130.0,8280.0,8130.0,8250.0,36300.0,8250.0
6/15,8040.0,8160.0,8040.0,8130.0,31800.0,8130.0
6/14,8020.0,8040.0,7950.0,8040.0,18600.0,8040.0
6/11,8080.0,8080.0,7950.0,8010.0,33400.0,8010.0
6/10,7930.0,7990.0,7890.0,7930.0,28800.0,7930.0
