3853
Date,Open,High,Low,Close,Volume,Trading Value
7/14,863.0,869.0,850.0,852.0,141100.0,852.0
7/13,837.0,876.0,837.0,868.0,394300.0,868.0
7/12,816.0,836.0,809.0,834.0,236900.0,834.0
7/9,785.0,803.0,771.0,801.0,219400.0,801.0
7/8,825.0,825.0,792.0,792.0,246900.0,792.0
7/7,830.0,845.0,821.0,825.0,151300.0,825.0
7/6,862.0,862.0,831.0,831.0,207700.0,831.0
7/5,851.0,870.0,848.0,858.0,192900.0,858.0
7/2,839.0,855.0,831.0,851.0,103700.0,851.0
7/1,875.0,882.0,839.0,839.0,265300.0,839.0
6/30,847.0,871.0,846.0,866.0,192800.0,866.0
6/29,846.0,864.0,841.0,846.0,172900.0,846.0
6/28,834.0,857.0,832.0,848.0,205800.0,848.0
6/25,824.0,827.0,813.0,820.0,96600.0,820.0
6/24,831.0,831.0,816.0,816.0,107400.0,816.0
6/23,836.0,854.0,828.0,829.0,143600.0,829.0
6/22,820.0,842.0,819.0,838.0,131000.0,838.0
6/21,826.0,832.0,808.0,808.0,164000.0,808.0
6/18,868.0,872.0,837.0,839.0,225700.0,839.0
6/17,850.0,872.0,837.0,862.0,184900.0,862.0
6/16,842.0,856.0,830.0,853.0,157700.0,853.0
6/15,823.0,855.0,819.0,847.0,215800.0,847.0
6/14,840.0,841.0,815.0,818.0,137300.0,818.0
6/11,833.0,851.0,831.0,839.0,227600.0,839.0
6/10,813.0,834.0,803.0,833.0,176400.0,833.0
