3773
Date,Open,High,Low,Close,Volume,Trading Value
7/9,721.0,737.0,717.0,735.0,73300.0,735.0
7/8,740.0,741.0,723.0,726.0,110200.0,726.0
7/7,745.0,748.0,737.0,740.0,61900.0,740.0
7/6,743.0,751.0,737.0,751.0,75000.0,751.0
7/5,755.0,756.0,743.0,745.0,107000.0,745.0
7/2,763.0,763.0,754.0,756.0,81200.0,756.0
7/1,775.0,775.0,764.0,765.0,61000.0,765.0
6/30,777.0,784.0,773.0,775.0,57400.0,775.0
6/29,784.0,790.0,771.0,777.0,76400.0,777.0
6/28,770.0,784.0,768.0,784.0,76300.0,784.0
6/25,757.0,764.0,751.0,764.0,81300.0,764.0
6/24,747.0,754.0,742.0,744.0,99300.0,744.0
6/23,761.0,766.0,749.0,750.0,102300.0,750.0
6/22,757.0,766.0,745.0,761.0,93500.0,761.0
6/21,751.0,755.0,737.0,742.0,236200.0,742.0
6/18,790.0,803.0,772.0,773.0,141500.0,773.0
6/17,795.0,795.0,781.0,787.0,61700.0,787.0
6/16,787.0,800.0,775.0,800.0,130100.0,800.0
6/15,776.0,793.0,770.0,789.0,159400.0,789.0
6/14,790.0,790.0,771.0,776.0,86400.0,776.0
6/11,795.0,798.0,780.0,784.0,63600.0,784.0
6/10,798.0,809.0,792.0,798.0,91100.0,798.0
6/9,783.0,794.0,782.0,792.0,59800.0,792.0
6/8,782.0,786.0,776.0,779.0,40900.0,779.0
6/7,774.0,783.0,774.0,782.0,66300.0,782.0
