7192
Date,Open,High,Low,Close,Volume,Trading Value
7/14,1018.0,1030.0,1015.0,1030.0,16700.0,1030.0
7/13,1010.0,1027.0,1009.0,1018.0,28000.0,1018.0
7/12,1008.0,1012.0,1002.0,1012.0,25300.0,1012.0
7/9,993.0,1000.0,985.0,998.0,34800.0,998.0
7/8,1003.0,1006.0,995.0,995.0,24600.0,995.0
7/7,1000.0,1010.0,1000.0,1000.0,17900.0,1000.0
7/6,1001.0,1008.0,1001.0,1004.0,7900.0,1004.0
7/5,1004.0,1009.0,1000.0,1001.0,18100.0,1001.0
7/2,984.0,1006.0,984.0,1004.0,24400.0,1004.0
7/1,987.0,988.0,983.0,984.0,20200.0,984.0
6/30,992.0,995.0,986.0,986.0,21900.0,986.0
6/29,995.0,1007.0,991.0,993.0,30800.0,993.0
6/28,999.0,1000.0,992.0,1000.0,19100.0,1000.0
6/25,996.0,998.0,990.0,993.0,14600.0,993.0
6/24,997.0,999.0,991.0,996.0,19000.0,996.0
6/23,1006.0,1010.0,998.0,1000.0,18800.0,1000.0
6/22,1004.0,1009.0,999.0,1002.0,22600.0,1002.0
6/21,987.0,996.0,981.0,991.0,36700.0,991.0
6/18,1009.0,1010.0,991.0,991.0,27500.0,991.0
6/17,1016.0,1019.0,1009.0,1009.0,17300.0,1009.0
6/16,1004.0,1015.0,1001.0,1012.0,27200.0,1012.0
6/15,1007.0,1012.0,1000.0,1000.0,12600.0,1000.0
6/14,1010.0,1010.0,997.0,1009.0,21000.0,1009.0
6/11,1010.0,1010.0,995.0,997.0,29100.0,997.0
6/10,1008.0,1008.0,997.0,1006.0,22200.0,1006.0
