6480
Date,Open,High,Low,Close,Volume,Trading Value
7/14,672.0,690.0,668.0,685.0,343000.0,685.0
7/13,670.0,684.0,664.0,682.0,348400.0,682.0
7/12,649.0,670.0,645.0,662.0,596600.0,662.0
7/9,613.0,630.0,608.0,629.0,290200.0,629.0
7/8,618.0,625.0,614.0,621.0,273300.0,621.0
7/7,625.0,626.0,609.0,614.0,286900.0,614.0
7/6,631.0,646.0,630.0,640.0,327100.0,640.0
7/5,633.0,637.0,622.0,623.0,259200.0,623.0
7/2,605.0,633.0,601.0,633.0,362400.0,633.0
7/1,610.0,614.0,600.0,601.0,254200.0,601.0
6/30,607.0,617.0,603.0,606.0,198600.0,606.0
6/29,614.0,614.0,598.0,599.0,208700.0,599.0
6/28,615.0,627.0,609.0,620.0,299000.0,620.0
6/25,595.0,612.0,595.0,608.0,376300.0,608.0
6/24,586.0,591.0,580.0,585.0,156300.0,585.0
6/23,595.0,597.0,585.0,586.0,205200.0,586.0
6/22,591.0,606.0,589.0,599.0,438700.0,599.0
6/21,572.0,578.0,564.0,568.0,299800.0,568.0
6/18,610.0,610.0,588.0,589.0,486600.0,589.0
6/17,620.0,628.0,613.0,616.0,129300.0,616.0
6/16,611.0,621.0,611.0,620.0,119700.0,620.0
6/15,612.0,616.0,610.0,613.0,114200.0,613.0
6/14,619.0,622.0,610.0,613.0,76200.0,613.0
6/11,618.0,622.0,612.0,613.0,209900.0,613.0
6/10,617.0,627.0,614.0,626.0,201300.0,626.0
