7203
Date,Open,High,Low,Close,Volume,Trading Value
7/9,9571.0,9679.0,9472.0,9650.0,8688700.0,9650.0
7/8,9701.0,9768.0,9675.0,9675.0,5083300.0,9675.0
7/7,9729.0,9751.0,9671.0,9734.0,4547100.0,9734.0
7/6,9798.0,9822.0,9746.0,9794.0,2704200.0,9794.0
7/5,9739.0,9805.0,9739.0,9772.0,3168300.0,9772.0
7/2,9752.0,9860.0,9739.0,9820.0,4492200.0,9820.0
7/1,9728.0,9739.0,9635.0,9690.0,4387800.0,9690.0
6/30,9774.0,9785.0,9710.0,9710.0,4043100.0,9710.0
6/29,9786.0,9793.0,9691.0,9740.0,4334800.0,9740.0
6/28,9852.0,9878.0,9807.0,9842.0,3289700.0,9842.0
6/25,9891.0,9905.0,9817.0,9849.0,4064400.0,9849.0
6/24,9900.0,9901.0,9811.0,9824.0,4480700.0,9824.0
6/23,9850.0,9885.0,9765.0,9782.0,6507000.0,9782.0
6/22,9915.0,9985.0,9842.0,9960.0,7651600.0,9960.0
6/21,9595.0,9763.0,9560.0,9638.0,9418100.0,9638.0
6/18,10130.0,10130.0,9833.0,9833.0,12226400.0,9833.0
6/17,10145.0,10260.0,10105.0,10230.0,4256100.0,10230.0
6/16,10135.0,10330.0,10105.0,10175.0,6211900.0,10175.0
6/15,9916.0,10090.0,9884.0,10075.0,7386500.0,10075.0
6/14,9930.0,9958.0,9883.0,9900.0,3133400.0,9900.0
6/11,9846.0,9903.0,9780.0,9861.0,6581100.0,9861.0
6/10,9830.0,9918.0,9820.0,9866.0,4157300.0,9866.0
6/9,9836.0,9950.0,9814.0,9906.0,4428100.0,9906.0
6/8,9838.0,9899.0,9785.0,9856.0,5378900.0,9856.0
6/7,9953.0,9971.0,9865.0,9917.0,6374000.0,9917.0
